' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:15:369, ' Request_Type ' POST, ' Request_URL ' /User/currentUser, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 384, ' Response_Time ' 25.965 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:15:373, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRole, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 456, ' Response_Time ' 26.325 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:15:381, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 28.157 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:15:400, ' Request_Type ' GET, ' Request_URL ' /User/flOunv.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 404, ' Content_Length ' 154, ' Response_Time ' 4.795 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:15:418, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRoleToRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 2.636 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:15:756, ' Request_Type ' POST, ' Request_URL ' /User/currentUser, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 372, ' Response_Time ' 3.400 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:15:762, ' Request_Type ' POST, ' Request_URL ' /Application/getPublisherAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 74, ' Response_Time ' 17.584 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:15:901, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRoleToRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.704 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:21:294, ' Request_Type ' POST, ' Request_URL ' /Application/applicationBySearch, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 52, ' Response_Time ' 3.765 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:21:297, ' Request_Type ' POST, ' Request_URL ' /Application/applicationBySearch, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 52, ' Response_Time ' 4.742 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 04-02-2020 18:08:22:205, ' Request_Type ' POST, ' Request_URL ' /Application/applicationBySearch, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 52, ' Response_Time ' 1.472 ms,
